,Country Name,croissance demo,Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Production,unurished death cause (%),CO2 emission (ton/capita),GDP_growth (%),Political_Stability,gini index
104,Serbia,-0.003000000000000001,90.0,7.0,12.0,85.0,2.4164422258396847,6.548187991757816,3.311648405013296,-0.3572222222222223,38.1125
105,Sierra Leone,0.027526315789473697,30.0,0.0,14.0,17.0,66.11713496488,0.0938975499894219,2.7180390306455116,-0.37833333333333335,36.63333333333333
106,Slovenia,0.002315789473684211,52.0,29.0,20.0,72.0,4.131905076874813,7.317373925242777,2.6978817763627823,1.008888888888889,24.8375
107,Sudan,0.02057142857142857,69.0,,2.0,67.0,43.10529810543417,0.33507414816177644,2.89812051007421,-2.1972222222222224,34.8
108,Sri Lanka,0.00642105263157895,192.0,2.0,0.0,192.0,9.534410065635168,0.628443156556203,4.611959174489672,-0.8588888888888889,36.7875
109,Suriname,0.01078947368421053,25.0,5.0,18.0,10.0,15.63719072808715,3.9703619071151057,2.486230425195068,0.17833333333333334,57.9
110,Sweden,0.006052631578947371,187.0,23.0,84.0,157.0,5.4461793932913425,5.418048319603998,2.529123206908514,1.1777777777777778,27.32083333333333
111,Senegal,0.025526315789473696,77.0,0.0,0.0,77.0,51.55047988706272,0.47660860871182426,3.12200648685127,-0.20444444444444446,42.38333333333333
112,Tajikistan,0.020210526315789477,40.0,,38.0,2.0,25.304445117076153,0.6241721925022652,2.341682409855853,-1.0355555555555556,32.13333333333333
113,Chad,0.03305263157894739,7.0,0.0,1.0,6.0,67.98680906523165,0.08391119524570458,3.308462399775321,-1.446111111111111,40.199999999999996
114,Thailand,0.005157894736842106,881.0,796.0,2.0,1676.0,17.431121914193724,3.0515964031443397,5.660804344179133,-0.8422222222222222,40.33076923076923
115,Togo,0.025210526315789485,54.0,0.0,16.0,40.0,55.1679665782945,0.27902418709749,4.033882579948508,-0.3844444444444444,43.425000000000004
116,Trinidad and Tobago,0.004894736842105264,76.0,0.0,23.0,61.0,8.83842180343039,11.99055068196188,3.0054220982774624,0.031666666666666655,41.45
117,Tunisia,0.009263157894736843,195.0,4.0,0.0,213.0,8.36165591041874,2.2491800316752357,4.179356773203929,-0.3005555555555556,38.91428571428572
118,Turkmenistan,0.013736842105263158,27.0,,9.0,20.0,21.707842167839125,10.387186192579978,5.6214896835040475,0.1116666666666667,40.8
119,Ukraine,-0.005210526315789475,1009.0,273.0,121.0,1211.0,3.6243883600907125,6.704898487115562,-1.0167460700046953,-0.6905555555555556,27.604347826086965
120,Uruguay,0.002052631578947368,33.0,3.0,3.0,33.0,7.40375140111334,1.7683733121275513,2.1596784461071614,0.8705555555555556,41.933333333333344
121,Vanuatu,0.024473684210526325,3.0,,4.0,1.0,19.551246418289374,0.48636586221681427,2.258911090907915,1.0027777777777778,34.849999999999994
122,Zambia,0.02736842105263159,60.0,1.0,12.0,49.0,63.12858041961815,0.25130061200109954,3.210007060708559,0.27222222222222225,52.6888888888889
123,Zimbabwe,0.01042105263157895,76.0,,6.0,69.0,59.87860383179983,1.0496102012801758,2.8408447130079137,-0.9833333333333333,45.93333333333334
124,United Arab Emirates,0.06226315789473683,412.0,94.0,433.0,48.0,7.902506454539802,25.05627741640506,4.616373820514262,0.8327777777777778,29.25
125,Ecuador,0.015842105263157904,341.0,0.0,0.0,340.0,15.858784949682676,2.064148767162275,3.599578695896876,-0.5222222222222223,49.50952380952381
126,Ethiopia,0.02673684210526317,14.0,,1.0,14.0,54.95626037709891,0.07863344979812766,5.898698689211228,-1.5044444444444445,34.519999999999996
127,Solomon Islands,0.024473684210526325,3.0,0.0,6.0,0.0,29.3711094964966,0.591476125185874,2.550674239481617,0.17666666666666664,41.6
